RAR0200;Ettevõtte majandusõpetus;4;E;Moonika Kuusmann;RDIR
RAR0380;Andmebaasisüsteemid;5;E;Zanna Gratsjova;RDDR
RAM0122;Veebiprogrammeerimine I;2;H;Natalja Ivleva;RDIR
RAR0470;Side;5;E;Larissa Joonas;RDIR
RAM0110;Animatsioon ja video;2;H;Zanna Gratsjova;RDDR
RAM0211;Operatsioonisüsteemide administreerimine I;4;E;Oleg Shvets;RDIR
